Time,EcoName,ActiveCount,AvgLiveB,AvgAG_NPP,AvgLitterB,AvgWoodLitterB,AvgDefoliation,
5, 101, 416109, 1685.8, 0, 0, 0, 0, 
5, 102, 248331, 14314.5, 0, 0, 0, 0, 
10, 101, 416109, 1417.4, 293, 181.5, 1658.2, 0, 
10, 102, 248331, 19841.3, 652, 298.5, 486.6, 0, 
15, 101, 416109, 1417.4, 293, 181.5, 1658.2, 0, 
15, 102, 248331, 19841.3, 652, 298.5, 486.6, 0, 
20, 101, 416109, 1749.2, 381, 184.7, 2604.1, 0, 
20, 102, 248331, 24383.5, 727, 340.4, 741.1, 0, 
25, 101, 416109, 1749.2, 381, 184.7, 2604.1, 0, 
25, 102, 248331, 24383.5, 727, 340.4, 741.1, 0, 
30, 101, 416109, 1907.3, 440, 199.5, 3326.8, 0, 
30, 102, 248331, 27030.9, 792, 376.1, 1792.8, 0, 
35, 101, 416109, 1907.3, 440, 199.5, 3326.8, 0, 
35, 102, 248331, 27030.9, 792, 376.1, 1792.8, 0, 
40, 101, 416109, 1973.4, 468, 206.5, 3764, 0, 
40, 102, 248331, 27953.5, 781, 376.3, 3111.3, 0, 
45, 101, 416109, 1973.4, 468, 206.5, 3764, 0, 
45, 102, 248331, 27953.5, 781, 376.3, 3111.3, 0, 
50, 101, 416109, 1995.4, 477, 209.1, 3986.1, 0, 
50, 102, 248331, 28337.3, 747, 366.1, 3808.2, 0, 
